Registry Key,Change Type,Value Name,Value Data,Value Type,Data Length,Value Data Changed To,Value Type Changed To,Data Length Changed To,Key Modified Time 1,Key Modified Time 2
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-v..oyment-languagepack_31bf3856ad364e35_en-us_6824bc8f751d560c,Removed Key,,,,,,,,2019-12-07 09:54,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-uso-dtuhandler_31bf3856ad364e35_none_c591517143120d0f,Removed Key,,,,,,,,2019-12-07 09:17,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-u..oyment-languagepack_31bf3856ad364e35_en-us_26fa86a5087bc350,Removed Key,,,,,,,,2021-09-13 07:12,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-u..n-cmdline.resources_31bf3856ad364e35_en-us_d1f86e60f144034a,Removed Key,,,,,,,,2019-12-07 09:50,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-u..egistration-cmdline_31bf3856ad364e35_none_fcd53f6be9f18241,Removed Key,,,,,,,,2019-12-07 09:17,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-u..21h1-ekb-deployment_31bf3856ad364e35_none_ea142d3a61eaba9c,Removed Key,,,,,,,,2021-09-13 07:12,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-textshaping_31bf3856ad364e35_none_b56043651b7ea7d1,Removed Key,,,,,,,,2019-12-07 09:17,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-t..nputpanel.resources_31bf3856ad364e35_en-us_34a9464e45f84a11,Removed Key,,,,,,,,2019-12-07 09:50,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-t..llaboration-rdpcore_31bf3856ad364e35_none_d1816e6af0b63500,Removed Key,,,,,,,,2019-12-07 09:17,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-t..laboration-rdpencom_31bf3856ad364e35_none_6a338fa4fe2ed5ff,Removed Key,,,,,,,,2019-12-07 09:17,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-t..etpcmath-deployment_31bf3856ad364e35_none_46f44e127a15cdfb,Removed Key,,,,,,,,2019-12-07 09:50,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-t..etpc-mathinputpanel_31bf3856ad364e35_none_11a68aad8d559070,Removed Key,,,,,,,,2019-12-07 09:50,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-t..erformance-counters_31bf3856ad364e35_none_b13187db32af2a01,Removed Key,,,,,,,,2019-12-07 09:17,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-storage-diagnostics_31bf3856ad364e35_none_8873221478f62282,Removed Key,,,,,,,,2019-12-07 09:17,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-snippingtool-licensing_31bf3856ad364e35_none_28ebabd9a43aa3ab,Removed Key,,,,,,,,2019-12-07 09:17,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-snippingtool-app_31bf3856ad364e35_none_15adfaea8708490e,Removed Key,,,,,,,,2019-12-07 09:17,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-shell-wallpaper-theme2_31bf3856ad364e35_none_245784a8678e29ef,Removed Key,,,,,,,,2019-12-07 09:17,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-shell-wallpaper-theme1_31bf3856ad364e35_none_245782c2678e2cc8,Removed Key,,,,,,,,2019-12-07 09:17,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-settingsynchost_31bf3856ad364e35_none_27ba27d6cb4ea863,Removed Key,,,,,,,,2019-12-07 09:17,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-settingsynccore_31bf3856ad364e35_none_28575352cad9896a,Removed Key,,,,,,,,2019-12-07 09:17,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-settingsync_31bf3856ad364e35_none_e4747d692530f277,Removed Key,,,,,,,,2019-12-07 09:17,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-settingsync.resources_31bf3856ad364e35_en-us_5b82f2c6246587ec,Removed Key,,,,,,,,2019-12-07 09:50,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-settingsync-onedrive_31bf3856ad364e35_none_4415c8f172a00240,Removed Key,,,,,,,,2019-12-07 09:17,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-settingsync-azure_31bf3856ad364e35_none_9a3c433a8092fbad,Removed Key,,,,,,,,2019-12-07 09:17,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-settingmonitor_31bf3856ad364e35_none_14672233eb280628,Removed Key,,,,,,,,2019-12-07 09:17,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-servicingstack-net_31bf3856ad364e35_none_ff62e59f75171f0e,Removed Key,,,,,,,,2019-12-07 09:17,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-security-spp-installer_31bf3856ad364e35_none_e89b775d4abe6091,Removed Key,,,,,,,,2019-12-07 09:17,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-sechealthui.appxsetup_31bf3856ad364e35_none_f625242edb7a4e4f,Removed Key,,,,,,,,2019-12-07 09:17,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-sechealthui.appxmain_31bf3856ad364e35_none_2d3e7a8c7da8d4c9,Removed Key,,,,,,,,2019-12-07 09:17,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-s..ync-azure.resources_31bf3856ad364e35_en-us_3753e8eaf5eb1fa8,Removed Key,,,,,,,,2019-12-07 09:50,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-s..ylistener.resources_31bf3856ad364e35_en-us_15c23cb2eea2307c,Removed Key,,,,,,,,2019-12-07 09:50,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-s..ty-identitylistener_31bf3856ad364e35_none_9bf9db44533a012f,Removed Key,,,,,,,,2019-12-07 09:17,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-s..s-datausagehandlers_31bf3856ad364e35_none_7380aa87df541d26,Removed Key,,,,,,,,2019-12-07 09:17,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-s..rmers-windows-extra_31bf3856ad364e35_none_7c87327c69753cc0,Removed Key,,,,,,,,2019-12-07 09:17,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-s..ngsyncconfiguration_31bf3856ad364e35_none_20f3cbc80a9f31cd,Removed Key,,,,,,,,2019-12-07 09:17,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-s..ndlers-quickactions_31bf3856ad364e35_none_cbbc387c8edc9412,Removed Key,,,,,,,,2019-12-07 09:17,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-s..k-transformers-full_31bf3856ad364e35_none_38c162860c9e365b,Removed Key,,,,,,,,2019-12-07 09:17,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-s..ingstack-base-extra_31bf3856ad364e35_none_dc5ce04847bbc5ab,Removed Key,,,,,,,,2019-12-07 09:17,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-s..gtool-app.resources_31bf3856ad364e35_en-us_af02f0b5c0f7ec61,Removed Key,,,,,,,,2019-12-07 09:50,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-s..gsynchost.resources_31bf3856ad364e35_en-us_64e5a06d1b1fac2e,Removed Key,,,,,,,,2019-12-07 09:50,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-s..gsynccore.resources_31bf3856ad364e35_en-us_c1ddde69a5cf2799,Removed Key,,,,,,,,2019-12-07 09:50,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-s..ckactions.resources_31bf3856ad364e35_en-us_5814d2baf22d345b,Removed Key,,,,,,,,2019-12-07 09:50,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-s...appxmain.resources_31bf3856ad364e35_en-us_b6bacffdc584f9a4,Removed Key,,,,,,,,2019-12-07 09:50,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-r..xwddmdriver-wow64-d_31bf3856ad364e35_none_04de75f1c1e4eaf1,Removed Key,,,,,,,,2019-12-07 09:54,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-r..x-synth3dvsc-events_31bf3856ad364e35_none_79f13d5cc01540f9,Removed Key,,,,,,,,2019-12-07 09:17,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-r..user-mode-transport_31bf3856ad364e35_none_0cd242c202fb3b69,Removed Key,,,,,,,,2019-12-07 09:54,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-r..s-regkeys-component_31bf3856ad364e35_none_3115f97ab2c14960,Removed Key,,,,,,,,2019-12-07 09:54,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-r..rnel-mode-transport_31bf3856ad364e35_none_dcadc7a157d1214f,Removed Key,,,,,,,,2019-12-07 09:17,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-r..p-merged-deployment_31bf3856ad364e35_none_0e591589a8a0e55d,Removed Key,,,,,,,,2019-12-07 09:54,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-r..oyment-languagepack_31bf3856ad364e35_en-us_5d8b3c77999d8f27,Removed Key,,,,,,,,2019-12-07 09:54,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-r..ow64-d-languagepack_31bf3856ad364e35_en-us_bfea4a201abd004d,Removed Key,,,,,,,,2019-12-07 09:54,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-r..erformance-counters_31bf3856ad364e35_none_6e2e41bd60057abe,Removed Key,,,,,,,,2019-12-07 09:17,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-r..component.resources_31bf3856ad364e35_en-us_b4cec3a5ffbc2c65,Removed Key,,,,,,,,2019-12-07 09:54,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-printing-homegroup_31bf3856ad364e35_none_71d6e50ab7af172a,Removed Key,,,,,,,,2019-12-07 09:17,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft-windows-perfctrs-events_31bf3856ad364e35_none_516a9dd3d5f5b97d,Removed Key,,,,,,,,2019-12-07 09:17,
