Registry Key,Change Type,Value Name,Value Data,Value Type,Data Length,Value Data Changed To,Value Type Changed To,Data Length Changed To,Key Modified Time 1,Key Modified Time 2
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0003\Ndi\Interfaces,Added Key,,,,,,,,,2021-12-25 00:39
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0004,Added Key,,,,,,,,,2021-12-25 00:39
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0004\Linkage,Added Key,,,,,,,,,2021-12-25 00:39
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0004\Ndi,Added Key,,,,,,,,,2021-12-25 00:39
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0004\Ndi\Interfaces,Added Key,,,,,,,,,2021-12-25 00:39
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0005,Added Key,,,,,,,,,2021-12-25 00:39
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0005\Linkage,Added Key,,,,,,,,,2021-12-25 00:39
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0005\Ndi,Added Key,,,,,,,,,2021-12-25 00:39
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0005\Ndi\Interfaces,Added Key,,,,,,,,,2021-12-25 00:39
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0006,Added Key,,,,,,,,,2021-12-25 00:39
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0006\Linkage,Added Key,,,,,,,,,2021-12-25 00:39
HKEY_LOCAL_MACHINE\System\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0006\Ndi,Added Key,,,,,,,,,2021-12-25 00:39
